Investor_ID,Gender,Age,Age_Group,Income_Bracket,Occupation,City_Type,Investment_Type,Investment_Source,Investment_Duration,Invest_Monitor,Risk_Profile,Investment_Mode,Risk_Tolerance_Score,Panic_Withdrawal,Invested_Amount,Current_Value,Investment_Start_Year,Market_Phase,Investment_Objective
INV0048,Male,37,Millennial,Medium,Salaried,Metro,Equity,Consultant,3–5,Monthly,High,SIP,8,No,925000,1125458,2022,Bull,Wealth
INV0049,Male,62,Boomer,Medium,Salaried,Non-Metro,FD,TV,3–5,Monthly,Low,SIP,3,No,205000,177770,2019,Bear,Wealth
INV0050,Female,47,Gen X,Medium,Salaried,Metro,Gold,Consultant,1–3,Daily,Moderate,SIP,7,No,75000,89990,2024,Volatile,Tax
INV0051,Male,39,Millennial,High,Salaried,Metro,MF,Internet,1–3,Monthly,Moderate,Lump_Sum,5,No,495000,421783,2016,Bear,Wealth
INV0052,Male,28,Millennial,Medium,Self-Employed,Metro,Equity,Newspaper,1–3,Daily,High,SIP,9,No,50000,54864,2021,Volatile,Tax
INV0053,Male,48,Gen X,Low,Salaried,Non-Metro,FD,Newspaper,<1,Weekly,Low,SIP,1,No,85000,134858,2022,Bull,Tax
INV0054,Male,37,Millennial,Medium,Salaried,Metro,PPF,Internet,3–5,Daily,Low,Lump_Sum,2,No,950000,932926,2019,Volatile,Safety
INV0055,Male,52,Gen X,Medium,Salaried,Metro,PPF,Internet,>5,Weekly,Low,Lump_Sum,2,No,410000,599840,2019,Bull,Safety
INV0056,Female,59,Boomer,High,Salaried,Metro,Equity,Consultant,>5,Monthly,High,Lump_Sum,9,No,540000,523837,2018,Volatile,Safety
INV0057,Female,24,Gen Z,Medium,Self-Employed,Non-Metro,PPF,Internet,<1,Monthly,Low,Lump_Sum,3,Yes,175000,154260,2016,Bear,Wealth
INV0058,Female,31,Millennial,High,Self-Employed,Metro,Bonds,Consultant,1–3,Daily,Moderate,Lump_Sum,5,No,730000,740222,2020,Volatile,Wealth
INV0059,Male,53,Gen X,Medium,Salaried,Non-Metro,Gold,TV,>5,Monthly,Moderate,SIP,4,No,260000,240110,2016,Bear,Safety
INV0060,Female,24,Gen Z,High,Salaried,Metro,Equity,Internet,1–3,Daily,High,Lump_Sum,9,No,840000,773458,2024,Bear,Wealth
INV0061,Male,59,Boomer,Low,Salaried,Metro,MF,Newspaper,1–3,Weekly,High,Lump_Sum,8,No,430000,469423,2020,Volatile,Wealth
INV0062,Female,38,Millennial,High,Salaried,Metro,Bonds,Internet,3–5,Monthly,Moderate,SIP,4,No,890000,1155133,2019,Bull,Wealth
INV0063,Male,65,Boomer,High,Self-Employed,Non-Metro,Gold,TV,1–3,Daily,Moderate,Lump_Sum,4,No,970000,1096333,2019,Volatile,Tax
INV0064,Male,30,Millennial,High,Salaried,Metro,Equity,Internet,>5,Weekly,High,SIP,10,No,305000,355654,2021,Bull,Tax
INV0065,Female,45,Gen X,High,Salaried,Non-Metro,Gold,Newspaper,>5,Weekly,Moderate,Lump_Sum,5,No,335000,512573,2016,Bull,Tax
INV0066,Female,47,Gen X,Low,Salaried,Metro,Equity,Consultant,1–3,Weekly,High,Lump_Sum,8,No,910000,1107388,2020,Bull,Wealth
INV0067,Female,57,Boomer,High,Salaried,Metro,Gold,Internet,<1,Monthly,Moderate,SIP,5,No,195000,150988,2019,Bear,Safety
INV0068,Female,30,Millennial,Medium,Self-Employed,Non-Metro,Gold,Newspaper,1–3,Weekly,Moderate,Lump_Sum,7,No,835000,711444,2016,Bear,Safety
INV0069,Female,24,Gen Z,Low,Salaried,Metro,Gold,Internet,3–5,Daily,Moderate,Lump_Sum,6,No,205000,322773,2019,Bull,Safety
INV0070,Male,27,Millennial,Medium,Salaried,Metro,MF,Consultant,1–3,Monthly,Moderate,Lump_Sum,4,No,800000,966380,2023,Bull,Safety
INV0071,Male,43,Gen X,High,Salaried,Metro,Bonds,Internet,1–3,Monthly,Low,SIP,3,Yes,350000,314024,2015,Bear,Wealth
INV0072,Male,38,Millennial,Low,Salaried,Metro,MF,Internet,<1,Weekly,High,SIP,8,No,980000,1461781,2024,Bull,Safety
INV0073,Female,55,Gen X,Medium,Self-Employed,Metro,Bonds,Newspaper,1–3,Monthly,Moderate,Lump_Sum,7,No,460000,645908,2016,Bull,Wealth
INV0074,Female,39,Millennial,Medium,Salaried,Metro,MF,Internet,<1,Monthly,Moderate,Lump_Sum,7,No,325000,334431,2023,Volatile,Safety
INV0075,Female,48,Gen X,High,Salaried,Non-Metro,Bonds,TV,1–3,Daily,Moderate,Lump_Sum,7,No,165000,250121,2022,Bull,Wealth
INV0076,Female,28,Millennial,High,Salaried,Metro,Gold,Internet,1–3,Monthly,Moderate,SIP,6,No,115000,136909,2021,Volatile,Tax
INV0077,Male,44,Gen X,Medium,Salaried,Non-Metro,PPF,Internet,1–3,Monthly,Low,Lump_Sum,2,Yes,845000,916040,2021,Volatile,Tax
INV0078,Female,23,Gen Z,Low,Salaried,Non-Metro,MF,Newspaper,<1,Monthly,Moderate,SIP,6,No,995000,1409503,2016,Bull,Wealth
INV0079,Male,55,Gen X,Medium,Salaried,Metro,Gold,TV,>5,Daily,Moderate,SIP,6,No,910000,1038119,2024,Bull,Wealth
INV0080,Female,49,Gen X,Medium,Salaried,Metro,Bonds,Consultant,3–5,Monthly,Moderate,SIP,6,No,440000,401995,2023,Volatile,Wealth
INV0081,Male,60,Boomer,Low,Salaried,Metro,Bonds,Consultant,<1,Monthly,Moderate,SIP,5,No,535000,730965,2017,Bull,Wealth
INV0082,Female,57,Boomer,Low,Self-Employed,Metro,PPF,Consultant,3–5,Monthly,Low,SIP,2,Yes,75000,74366,2016,Bear,Wealth
INV0083,Female,61,Boomer,High,Self-Employed,Metro,Bonds,Internet,3–5,Weekly,Moderate,SIP,4,No,480000,463906,2019,Volatile,Safety
INV0084,Male,26,Millennial,Medium,Salaried,Non-Metro,FD,Internet,1–3,Daily,Low,SIP,3,Yes,850000,1144999,2016,Bull,Safety
INV0085,Female,59,Boomer,Medium,Self-Employed,Non-Metro,Gold,TV,1–3,Weekly,Moderate,SIP,6,No,805000,615054,2019,Bear,Tax
INV0086,Female,41,Gen X,Medium,Salaried,Non-Metro,Bonds,Consultant,1–3,Monthly,Low,SIP,2,No,780000,712108,2015,Bear,Wealth
INV0087,Male,52,Gen X,High,Salaried,Non-Metro,Bonds,TV,<1,Monthly,Low,Lump_Sum,2,No,830000,786527,2023,Volatile,Wealth
INV0088,Female,40,Millennial,Medium,Salaried,Metro,MF,Consultant,3–5,Weekly,Moderate,SIP,6,No,890000,1058497,2019,Volatile,Tax
INV0089,Female,31,Millennial,Low,Self-Employed,Non-Metro,MF,Internet,>5,Weekly,Moderate,SIP,7,No,470000,537659,2021,Volatile,Tax
INV0090,Male,65,Boomer,Medium,Salaried,Metro,FD,Consultant,3–5,Daily,Low,SIP,3,No,425000,646941,2017,Bull,Wealth
INV0091,Male,56,Boomer,Medium,Self-Employed,Non-Metro,FD,Newspaper,3–5,Monthly,Low,SIP,3,No,575000,737236,2022,Bull,Tax
INV0092,Female,50,Gen X,High,Self-Employed,Metro,Bonds,Internet,1–3,Monthly,Moderate,Lump_Sum,5,No,640000,603110,2024,Bear,Safety
INV0093,Female,54,Gen X,High,Self-Employed,Non-Metro,MF,Internet,>5,Monthly,Moderate,Lump_Sum,5,No,710000,820298,2016,Volatile,Wealth
INV0094,Female,32,Millennial,Medium,Salaried,Non-Metro,Bonds,Internet,>5,Weekly,Moderate,Lump_Sum,4,No,525000,509635,2021,Volatile,Safety
INV0095,Male,45,Gen X,Low,Self-Employed,Non-Metro,FD,TV,>5,Weekly,Low,SIP,3,No,835000,627346,2022,Bear,Wealth
INV0096,Male,38,Millennial,High,Salaried,Non-Metro,PPF,Internet,<1,Daily,Low,SIP,2,Yes,130000,101102,2024,Bear,Safety
INV0097,Male,60,Boomer,Medium,Salaried,Non-Metro,Bonds,Consultant,3–5,Daily,Low,SIP,1,No,135000,133427,2023,Bear,Tax
INV0098,Male,54,Gen X,Medium,Salaried,Non-Metro,Gold,TV,3–5,Weekly,Moderate,SIP,5,No,990000,1115733,2016,Volatile,Wealth
INV0099,Female,44,Gen X,High,Salaried,Non-Metro,Equity,Newspaper,<1,Monthly,High,Lump_Sum,8,No,425000,510338,2022,Bull,Safety
INV0100,Female,24,Gen Z,High,Salaried,Non-Metro,MF,Internet,1–3,Weekly,Moderate,Lump_Sum,5,No,470000,461523,2015,Volatile,Safety
INV0101,Female,49,Gen X,Medium,Self-Employed,Metro,Equity,Internet,3–5,Weekly,High,SIP,8,No,590000,544970,2016,Volatile,Tax
INV0102,Female,33,Millennial,Medium,Salaried,Non-Metro,MF,Internet,1–3,Weekly,High,SIP,10,No,605000,594331,2020,Volatile,Safety
INV0103,Male,25,Gen Z,Medium,Salaried,Metro,FD,Consultant,3–5,Monthly,Low,SIP,3,Yes,875000,1122768,2016,Bull,Wealth
INV0104,Male,58,Boomer,Medium,Self-Employed,Non-Metro,Bonds,Consultant,1–3,Weekly,Low,SIP,2,Yes,990000,1181093,2016,Bull,Tax
INV0105,Male,57,Boomer,Low,Salaried,Metro,Gold,TV,1–3,Daily,Moderate,Lump_Sum,5,No,270000,263160,2016,Bear,Wealth
INV0106,Female,27,Millennial,Medium,Self-Employed,Metro,MF,Internet,>5,Monthly,Moderate,Lump_Sum,5,No,335000,313696,2020,Volatile,Wealth
INV0107,Male,30,Millennial,High,Salaried,Metro,Equity,Internet,<1,Weekly,High,Lump_Sum,9,No,575000,650180,2022,Volatile,Safety
INV0108,Male,26,Millennial,High,Salaried,Metro,MF,Consultant,3–5,Monthly,Moderate,Lump_Sum,6,No,600000,810859,2017,Bull,Safety
INV0109,Male,29,Millennial,Medium,Salaried,Non-Metro,MF,Internet,1–3,Monthly,High,Lump_Sum,9,No,210000,190313,2023,Bear,Tax
INV0110,Male,27,Millennial,Medium,Salaried,Metro,Equity,Consultant,<1,Monthly,High,Lump_Sum,10,No,870000,1292394,2016,Bull,Wealth
INV0111,Female,35,Millennial,Medium,Salaried,Non-Metro,Bonds,Internet,>5,Weekly,Moderate,SIP,5,No,930000,1050859,2022,Bull,Wealth
INV0112,Female,52,Gen X,Low,Salaried,Metro,Bonds,TV,1–3,Monthly,Moderate,SIP,6,No,645000,749013,2020,Bull,Wealth
INV0113,Male,31,Millennial,Low,Self-Employed,Non-Metro,PPF,Internet,3–5,Daily,Low,Lump_Sum,3,Yes,685000,664291,2023,Bear,Wealth
INV0114,Female,27,Millennial,Medium,Self-Employed,Metro,PPF,Internet,>5,Monthly,Low,SIP,1,Yes,185000,243360,2023,Bull,Safety
INV0115,Female,45,Gen X,Medium,Salaried,Metro,Gold,Internet,1–3,Weekly,Moderate,SIP,6,No,845000,777484,2023,Bear,Wealth
INV0116,Female,28,Millennial,Medium,Self-Employed,Metro,FD,Internet,1–3,Daily,Low,Lump_Sum,3,Yes,710000,613615,2020,Bear,Tax
INV0117,Male,54,Gen X,Medium,Salaried,Metro,Equity,TV,3–5,Monthly,High,Lump_Sum,10,No,70000,58946,2019,Bear,Tax
INV0118,Female,48,Gen X,High,Self-Employed,Non-Metro,Equity,Consultant,3–5,Monthly,High,Lump_Sum,10,No,970000,1091907,2024,Bull,Wealth
INV0119,Female,55,Gen X,Low,Self-Employed,Metro,MF,Consultant,1–3,Weekly,Moderate,SIP,4,No,690000,651182,2018,Bear,Safety
INV0120,Male,25,Gen Z,Medium,Salaried,Non-Metro,Bonds,Internet,1–3,Weekly,Moderate,Lump_Sum,7,No,915000,862842,2023,Bear,Tax
INV0121,Female,63,Boomer,Medium,Salaried,Metro,Bonds,Newspaper,3–5,Monthly,Moderate,Lump_Sum,4,No,660000,552552,2022,Bear,Safety
INV0122,Female,39,Millennial,Low,Self-Employed,Metro,MF,Newspaper,1–3,Monthly,Moderate,SIP,6,No,885000,720488,2020,Bear,Wealth
INV0123,Female,34,Millennial,High,Self-Employed,Metro,Equity,Consultant,>5,Daily,High,SIP,10,No,175000,228663,2018,Bull,Tax
INV0124,Male,28,Millennial,Low,Salaried,Non-Metro,Equity,Internet,>5,Weekly,High,SIP,8,No,880000,1220618,2015,Bull,Tax
INV0125,Male,24,Gen Z,Medium,Self-Employed,Non-Metro,Bonds,Internet,3–5,Monthly,Moderate,SIP,7,No,60000,74951,2019,Bull,Tax
INV0126,Female,43,Gen X,Medium,Salaried,Metro,Equity,Internet,<1,Daily,High,SIP,9,No,375000,418342,2022,Volatile,Wealth
INV0127,Female,43,Gen X,Medium,Self-Employed,Metro,Gold,Newspaper,1–3,Daily,Moderate,SIP,7,No,460000,452619,2017,Bear,Wealth
INV0128,Male,46,Gen X,Medium,Salaried,Metro,Gold,Consultant,1–3,Monthly,Moderate,SIP,5,No,250000,212838,2022,Bear,Tax
INV0129,Male,41,Gen X,Medium,Self-Employed,Metro,MF,Internet,1–3,Monthly,Moderate,SIP,4,No,945000,838506,2020,Bear,Wealth
INV0130,Male,56,Boomer,High,Self-Employed,Metro,Equity,Newspaper,<1,Monthly,High,Lump_Sum,9,No,695000,667649,2015,Volatile,Tax
INV0131,Female,32,Millennial,High,Salaried,Non-Metro,Equity,Consultant,>5,Weekly,High,SIP,8,No,630000,561316,2023,Bear,Tax
INV0132,Female,65,Boomer,Medium,Salaried,Non-Metro,Equity,Newspaper,3–5,Weekly,High,SIP,10,No,650000,725313,2015,Bull,Wealth
INV0133,Female,30,Millennial,Medium,Self-Employed,Metro,Bonds,Newspaper,>5,Monthly,Moderate,SIP,7,No,495000,463117,2017,Volatile,Safety
INV0134,Male,47,Gen X,Medium,Salaried,Metro,Bonds,Consultant,3–5,Weekly,Moderate,Lump_Sum,5,No,635000,808405,2018,Bull,Wealth
INV0135,Male,29,Millennial,High,Salaried,Non-Metro,FD,TV,<1,Daily,Low,SIP,1,Yes,995000,1116507,2015,Bull,Wealth
INV0136,Male,56,Boomer,High,Self-Employed,Metro,Gold,TV,3–5,Monthly,Moderate,SIP,4,No,435000,669086,2020,Bull,Safety
INV0137,Male,55,Gen X,Medium,Salaried,Metro,Gold,Internet,>5,Monthly,Moderate,SIP,7,No,455000,504546,2021,Volatile,Wealth
INV0138,Female,41,Gen X,Low,Salaried,Metro,Gold,Internet,1–3,Daily,Moderate,SIP,5,No,760000,670698,2021,Bear,Wealth
INV0139,Male,38,Millennial,Medium,Salaried,Metro,MF,Internet,1–3,Monthly,High,SIP,9,No,140000,167171,2024,Bull,Safety
INV0140,Male,64,Boomer,Medium,Self-Employed,Metro,FD,TV,>5,Daily,Low,Lump_Sum,1,No,940000,1318068,2022,Bull,Wealth
INV0141,Female,37,Millennial,High,Salaried,Metro,Bonds,Internet,1–3,Daily,Moderate,SIP,5,No,310000,261229,2022,Bear,Wealth
INV0142,Male,58,Boomer,Medium,Salaried,Metro,Bonds,Newspaper,1–3,Weekly,Moderate,SIP,7,No,750000,685238,2018,Bear,Tax
INV0143,Female,38,Millennial,High,Salaried,Metro,MF,Internet,3–5,Daily,Moderate,SIP,6,No,125000,132147,2023,Volatile,Safety
INV0144,Male,26,Millennial,High,Salaried,Non-Metro,FD,Internet,1–3,Daily,Low,SIP,3,Yes,890000,776047,2024,Bear,Wealth
INV0145,Female,57,Boomer,Low,Salaried,Metro,Bonds,TV,3–5,Monthly,Low,Lump_Sum,1,No,720000,845603,2016,Bull,Wealth
INV0146,Female,55,Gen X,High,Salaried,Metro,Bonds,TV,>5,Daily,Moderate,SIP,7,No,880000,992530,2016,Volatile,Wealth
INV0147,Female,46,Gen X,Medium,Salaried,Metro,PPF,Internet,3–5,Weekly,Low,Lump_Sum,2,No,100000,96892,2016,Volatile,Safety
INV0148,Female,58,Boomer,Low,Self-Employed,Non-Metro,Equity,Consultant,>5,Weekly,High,SIP,9,No,230000,258905,2018,Volatile,Tax
INV0149,Male,47,Gen X,Low,Salaried,Metro,Equity,Newspaper,<1,Monthly,High,Lump_Sum,9,No,490000,448893,2016,Volatile,Wealth
INV0150,Female,26,Millennial,Medium,Salaried,Metro,MF,Newspaper,3–5,Weekly,Moderate,Lump_Sum,6,No,755000,743890,2018,Bear,Wealth
INV0151,Female,65,Boomer,Low,Salaried,Non-Metro,PPF,Newspaper,3–5,Monthly,Low,SIP,2,No,185000,142982,2020,Bear,Safety
INV0152,Female,50,Gen X,High,Salaried,Metro,Equity,Newspaper,<1,Daily,High,SIP,8,No,810000,1133207,2023,Bull,Wealth
INV0153,Male,46,Gen X,Low,Salaried,Metro,Equity,Internet,1–3,Weekly,High,Lump_Sum,10,No,235000,179966,2019,Bear,Wealth
INV0154,Female,48,Gen X,Medium,Salaried,Metro,Equity,Internet,<1,Weekly,High,SIP,8,No,840000,709776,2021,Bear,Safety
INV0155,Female,50,Gen X,Medium,Self-Employed,Non-Metro,Bonds,Internet,3–5,Weekly,Moderate,Lump_Sum,5,No,455000,374402,2017,Bear,Tax
INV0156,Male,53,Gen X,Medium,Salaried,Non-Metro,Bonds,TV,>5,Daily,Low,SIP,2,No,640000,757051,2015,Volatile,Wealth
INV0157,Male,40,Millennial,High,Self-Employed,Metro,MF,Internet,1–3,Weekly,Moderate,SIP,5,No,620000,989117,2021,Bull,Wealth
INV0158,Female,47,Gen X,Medium,Self-Employed,Metro,FD,Consultant,1–3,Monthly,Low,Lump_Sum,2,Yes,600000,465891,2021,Bear,Wealth
INV0159,Male,36,Millennial,Medium,Salaried,Non-Metro,Equity,Internet,1–3,Weekly,High,Lump_Sum,9,No,980000,1147420,2016,Bull,Wealth
INV0160,Male,51,Gen X,Medium,Salaried,Metro,MF,Newspaper,>5,Daily,Moderate,SIP,6,No,185000,204081,2020,Volatile,Wealth
INV0161,Male,37,Millennial,Medium,Salaried,Metro,Gold,Internet,3–5,Weekly,Moderate,SIP,7,No,835000,972715,2015,Volatile,Wealth
INV0162,Female,49,Gen X,Low,Salaried,Metro,Equity,Consultant,1–3,Weekly,High,Lump_Sum,10,No,385000,552610,2022,Bull,Wealth
INV0163,Female,62,Boomer,Medium,Salaried,Metro,Equity,Consultant,3–5,Weekly,High,Lump_Sum,8,No,155000,170753,2024,Volatile,Wealth
INV0164,Female,37,Millennial,Low,Salaried,Metro,Equity,Internet,1–3,Monthly,High,SIP,10,No,260000,272192,2017,Volatile,Wealth
INV0165,Female,42,Gen X,Medium,Self-Employed,Non-Metro,FD,Newspaper,>5,Weekly,Low,Lump_Sum,3,Yes,955000,916774,2022,Bear,Wealth
INV0166,Male,27,Millennial,High,Salaried,Metro,MF,Internet,3–5,Monthly,Moderate,Lump_Sum,5,No,700000,653774,2022,Volatile,Wealth
INV0167,Female,56,Boomer,Medium,Self-Employed,Non-Metro,Bonds,Consultant,>5,Monthly,Moderate,SIP,4,No,625000,769629,2019,Bull,Safety
INV0168,Female,27,Millennial,High,Salaried,Non-Metro,Equity,Internet,3–5,Weekly,High,Lump_Sum,10,No,310000,467097,2024,Bull,Safety
INV0169,Female,58,Boomer,Medium,Salaried,Metro,Bonds,TV,>5,Weekly,Moderate,SIP,5,No,575000,896646,2016,Bull,Safety
INV0170,Male,63,Boomer,Medium,Salaried,Metro,Gold,Consultant,<1,Monthly,Moderate,SIP,4,No,625000,480549,2021,Bear,Safety
INV0171,Female,27,Millennial,Medium,Salaried,Non-Metro,Equity,Internet,3–5,Monthly,High,SIP,8,No,900000,998268,2022,Volatile,Safety
INV0172,Female,56,Boomer,Low,Salaried,Metro,Bonds,Consultant,<1,Monthly,Moderate,SIP,5,No,110000,100516,2020,Volatile,Tax
INV0173,Male,51,Gen X,Low,Self-Employed,Metro,MF,Consultant,>5,Monthly,Moderate,Lump_Sum,7,No,400000,458667,2019,Bull,Wealth
INV0174,Female,27,Millennial,Medium,Salaried,Metro,Bonds,Consultant,3–5,Daily,Moderate,Lump_Sum,4,No,215000,300320,2022,Bull,Tax
INV0175,Male,50,Gen X,Low,Salaried,Metro,PPF,Newspaper,1–3,Monthly,Low,SIP,3,Yes,430000,337241,2020,Bear,Safety
INV0176,Male,30,Millennial,Low,Salaried,Non-Metro,Gold,Internet,3–5,Monthly,Moderate,SIP,6,No,615000,712163,2024,Volatile,Wealth
INV0177,Male,28,Millennial,High,Salaried,Metro,MF,Newspaper,3–5,Daily,Moderate,SIP,6,No,970000,1049809,2024,Volatile,Safety
